player_id,age,club_id,estimated_selling_value,expiry_date,name,position,rating,selling_value,selling_value_difference,transfer_status,updated_date,wage,value,contract,experience,personality,weeks_at_the_club,highest_bidding_club
6661246,32,66818,14248894,"2019-11-16 19:26:00","Slavoljub Sudar",MIDFIELDER_CENTER,22,47000,0,ALREADY_SOLD,NULL,5341,1326808,"Until the end of the season",0,-,10,"FC Internazionale Opole"
10752730,18,36440,9547871,"2019-11-16 19:21:00","Eliseu Viana",ATTACKER_CENTER,7,6000,0,ALREADY_SOLD,NULL,80,88686,"Until the end of the season",0,-,16,Gryffindors
9354706,25,26107,7904389,"2019-11-16 20:42:00","Dejan Kasic",MIDFIELDER_CENTER,6,751000,0,ALREADY_SOLD,NULL,78,162075,"Until the end of the season",0,"He is very determined.",88,"FC Thresh"
6759944,31,1977,19086742,"2019-11-16 17:42:00","Miodrag Neradovic",ATTACKER_CENTER,31,4574000,0,ALREADY_SOLD,NULL,17810,11446933,"Until the end of the season",0,-,10,"Ολυμπιακός FC"
11554815,18,103978,8154452,"2019-11-16 21:32:00","Mogens Vestgaard",MIDFIELDER_CENTER,5,703000,0,ALREADY_SOLD,NULL,16,57084,"Until the end of the season",0,-,25,"Urawa Reds AC"
9448872,24,101620,15200188,"2019-11-16 22:48:00","Kim Pohjonen",MIDFIELDER_CENTER,20,1442000,0,ALREADY_SOLD,NULL,3357,1089000,"2 seasons",0,"He is very determined.",168,"FC Deus"
10410006,19,99068,8185995,"2019-11-16 22:31:00","Ferdinando Colonnese",MIDFIELDER_CENTER,5,20000,0,ALREADY_SOLD,NULL,39,78393,"Until the end of the season",0,-,109,"Apollon AG"
10794340,18,55040,11339305,"2019-11-16 21:42:00","Komnen Gardijan",GOALKEEPER,10,503000,0,ALREADY_SOLD,NULL,321,149625,"2 seasons",0,-,89,RIVER.
10620562,18,36440,8999261,"2019-11-16 21:00:00","Sivuyile Mayende",DEFENDER_RIGHT,6,15000,0,ALREADY_SOLD,NULL,38,78944,"Until the end of the season",0,-,28,"Radomiak Fight Club"
10642041,30,104796,8345146,"2019-11-17 00:40:00","Baysal Tanseli",MIDFIELDER_CENTER,12,80000,0,ALREADY_SOLD,NULL,470,135238,"Until the end of the season",0,-,137,"Forest East"
